shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
marcus bartley,2017-18,S Illinois,MVC,jr,G,24,19,0.791666667,Southern Illinois,Southern Illinois,mabartley,Non-Power
marque maultsby,2018-19,UNH,AE,fr,G,24,19,0.791666667,New Hampshire,New Hampshire,mamaultsby,Non-Power
matt faw,2017-18,Holy Cross,Pat,fr,F/C,24,19,0.791666667,Holy Cross,Holy Cross,mafaw,Non-Power
michael johnson,2019-20,Chicago State,WAC,jr,G,24,15,0.625,Chicago St.,Chicago State,mijohnson,Non-Power
mikey west,2021-22,Bethune-Cookman,SWAC,fr,G,24,16,0.666666667,Bethune Cookman,Bethune-Cookman,miwest,Non-Power
milik gantz,2017-18,NC A&T,MEAC,jr,G,24,14,0.583333333,North Carolina A&T,North Carolina A&T,migantz,Non-Power
montell mcrae,2017-18,Buffalo,MAC,jr,F,24,11,0.458333333,Buffalo,Buffalo,momcrae,Non-Power
musa jallow,2018-19,Ohio State,B10,so,F,24,17,0.708333333,Ohio St.,Ohio State,mujallow,Power
mustafa lawrence,2020-21,Norfolk State,MEAC,sr,G,24,18,0.75,Norfolk St.,Norfolk State,mulawrence,Non-Power
myles franklin,2018-19,Northeastern,CAA,so,G,24,16,0.666666667,Northeastern,Northeastern,myfranklin,Non-Power
nahshon hyland,2019-20,VCU,A10,fr,G,24,16,0.666666667,VCU,VCU,nahyland,Non-Power
nate reuvers,2017-18,Wisconsin,B10,fr,F/C,24,20,0.833333333,Wisconsin,Wisconsin,nareuvers,Power
nathan bain,2017-18,SF Austin,Slnd,so,G,24,16,0.666666667,Stephen F. Austin,Stephen F. Austin,nabain,Non-Power
nicholas boyd,2020-21,FAU,CUSA,fr,G,24,18,0.75,Florida Atlantic,Florida Atlantic,niboyd,Non-Power
nick stampley,2021-22,Troy,SB,sr,F,24,15,0.625,Troy,Troy,nistampley,Non-Power
nikola djogo,2020-21,Notre Dame,ACC,sr,F,24,21,0.875,Notre Dame,Notre Dame,nidjogo,Power
noah thomas,2019-20,Drake,MVC,jr,G,24,13,0.541666667,Drake,Drake,nothomas,Non-Power
noah waterman,2021-22,Detroit Mercy,Horz,jr,F,24,18,0.75,Detroit,Detroit Mercy,nowaterman,Non-Power
nolan foster,2019-20,Ohio,MAC,fr,C,24,13,0.541666667,Ohio,Ohio,nofoster,Non-Power
omer croskey,2021-22,S Carolina St,MEAC,so,G,24,17,0.708333333,South Carolina St.,South Carolina State,omcroskey,Non-Power
oskar michelsen,2017-18,Davidson,A10,sr,F,24,17,0.708333333,Davidson,Davidson,osmichelsen,Non-Power
owen mccormack,2021-22,Presbyterian,BSth,jr,F,24,19,0.791666667,Presbyterian,Presbyterian College,owmccormack,Non-Power
pierre crockrell,2021-22,Pacific,WCC,jr,G,24,13,0.541666667,Pacific,Pacific,picrockrell,Non-Power
pj byrd,2020-21,Colorado State,MWC,jr,G,24,21,0.875,Colorado St.,Colorado State,pjbyrd,Non-Power
quentin scott,2020-21,Texas State,SB,sr,F,24,17,0.708333333,Texas St.,Texas State,quscott,Non-Power
quinton adlesh,2018-19,Columbia,Ivy,sr,G,24,17,0.708333333,Columbia,Columbia,quadlesh,Non-Power
richard lee,2018-19,Southern,SWAC,sr,G,24,15,0.625,Southern,Southern,rilee,Non-Power
richard njoku,2019-20,Navy,Pat,so,F/C,24,13,0.541666667,Navy,Navy,rinjoku,Non-Power
robert lewis,2017-18,Texas Southern,SWAC,jr,G,24,14,0.583333333,Texas Southern,Texas Southern,rolewis,Non-Power
rubin jones,2020-21,North Texas,CUSA,fr,G,24,15,0.625,North Texas,North Texas,rujones,Non-Power
